Problem 1 Scores:,cGAN,cVAE
Nearest Dataset Sample,0.1344824856488084,0.10267367899986787
Nearest Generated Sample,0.051870390902732065,0.07904736368113223
F1,0.29870721301321185,0.5888924970108591
F10,0.5763268357053973,0.7988502468354308
F0.1,0.7773553735789058,0.8842846464378132
AUC-PR,0.2537033113264308,0.5738823701297039
MMD,0.045599520206451416,0.04875636100769043
Conditioning Reconstruction,0.016142378184291588,0.007938118695041858
Conditioning Adherence,0.014866391733331603,0.009529177873831379
